Year,Percent,95% CI Lower Limit,95% CI Upper Limit,Measure
2012,14.5,13.8,15.2,Lifetime Asthma Prevalence
2013,15.1,14.2,15.9,Lifetime Asthma Prevalence
2014,13.4,12.2,14.5,Lifetime Asthma Prevalence
2015,13.2,12.3,14.2,Lifetime Asthma Prevalence
2016,13.6,12.4,14.8,Lifetime Asthma Prevalence
2017,16.0,14.3,17.7,Lifetime Asthma Prevalence
2012,9.0,8.4,9.5,Current Asthma Prevalence
2013,9.0,8.4,9.7,Current Asthma Prevalence
2014,7.8,6.9,8.7,Current Asthma Prevalence
2015,8.0,7.2,8.7,Current Asthma Prevalence
2016,8.0,7.1,9.0,Current Asthma Prevalence
2017,8.8,7.6,10.1,Current Asthma Prevalence
