Year,Percent,95 percent CI Lower Limit,95 percent CI Upper Limit,Measure
1945,0,0,0,Lifetime Asthma Prevalence
1946,0,0,0,Lifetime Asthma Prevalence
1947,0,0,0,Lifetime Asthma Prevalence
1948,0,0,0,Lifetime Asthma Prevalence
1949,0,0,0,Lifetime Asthma Prevalence
1950,0,0,0,Lifetime Asthma Prevalence
1951,0,0,0,Lifetime Asthma Prevalence
1952,0,0,0,Lifetime Asthma Prevalence
1954,0,0,0,Lifetime Asthma Prevalence
1955,0,0,0,Lifetime Asthma Prevalence
1956,0,0,0,Lifetime Asthma Prevalence
1957,0,0,0,Lifetime Asthma Prevalence
1958,0,0,0,Lifetime Asthma Prevalence
1959,0,0,0,Lifetime Asthma Prevalence
1960,0,0,0,Lifetime Asthma Prevalence
1961,0,0,0,Lifetime Asthma Prevalence
1962,0,0,0,Lifetime Asthma Prevalence
1963,0,0,0,Lifetime Asthma Prevalence
1964,0,0,0,Lifetime Asthma Prevalence
1965,0,0,0,Lifetime Asthma Prevalence
1966,0,0,0,Lifetime Asthma Prevalence
1967,0,0,0,Lifetime Asthma Prevalence
1968,0,0,0,Lifetime Asthma Prevalence
1969,0,0,0,Lifetime Asthma Prevalence
1970,0,0,0,Lifetime Asthma Prevalence
1971,0,0,0,Lifetime Asthma Prevalence
1972,0,0,0,Lifetime Asthma Prevalence
1973,0,0,0,Lifetime Asthma Prevalence
1974,0,0,0,Lifetime Asthma Prevalence
1975,0,0,0,Lifetime Asthma Prevalence
1976,0,0,0,Lifetime Asthma Prevalence
1977,0,0,0,Lifetime Asthma Prevalence
1978,0,0,0,Lifetime Asthma Prevalence
1979,0,0,0,Lifetime Asthma Prevalence
1980,0,0,0,Lifetime Asthma Prevalence
1981,0,0,0,Lifetime Asthma Prevalence
1982,0,0,0,Lifetime Asthma Prevalence
1983,0,0,0,Lifetime Asthma Prevalence
1984,8.8,8,9.6,Lifetime Asthma Prevalence
1985,9,8.1,9.8,Lifetime Asthma Prevalence
1986,9.2,8.5,10,Lifetime Asthma Prevalence
1987,9.5,8.4,10.2,Lifetime Asthma Prevalence
1988,10,8.6,10.5,Lifetime Asthma Prevalence
1989,10.2,9,10.6,Lifetime Asthma Prevalence
1990,10.4,9.1,11,Lifetime Asthma Prevalence
1991,10.5,9.2,11.1,Lifetime Asthma Prevalence
1992,10.7,9.3,11.5,Lifetime Asthma Prevalence
1993,10.8,9.4,11.9,Lifetime Asthma Prevalence
1994,10.9,9.8,12,Lifetime Asthma Prevalence
1995,11,9.9,12.2,Lifetime Asthma Prevalence
1996,11.5,10.4,12.6,Lifetime Asthma Prevalence
1997,12.8,11.6,13.9,Lifetime Asthma Prevalence
1998,13.5,12.2,14.7,Lifetime Asthma Prevalence
1999,13.3,12.1,14.5,Lifetime Asthma Prevalence
